environment,num_nodes,variant,full_mean,variant_mean,delta_points,full_std,variant_std,n,hedges_g,t_stat,p_raw,p_holm,significant_005
outdoor_urban,300,AERIS-noCAS,0.199713,0.19139,-0.8323,0.008992,0.008108,30,0.959549,3.765215,0.0001664055848678159,0.00898590158286206,YES
outdoor_urban,300,AERIS-noFair,0.199713,0.20029,0.0577,0.008992,0.010427,30,-0.05846,-0.229393,0.8185633530918914,1.0,NO
outdoor_urban,500,AERIS-noGW,0.19956,0.197293,-0.2267,0.006949,0.007883,30,0.301076,1.181406,0.23744135955874093,1.0,NO
outdoor_urban,500,AERIS-noCAS,0.19956,0.19135,-0.821,0.006949,0.006413,30,1.21195,4.755625,1.9783300678461665e-06,0.0001127648138672315,YES
outdoor_urban,500,AERIS-noFair,0.19956,0.205507,0.5947,0.006949,0.007193,30,-0.829979,-3.256792,0.0011267903872370102,0.05746630974908752,NO
outdoor_urban,800,AERIS-noGW,0.200083,0.196733,-0.335,0.005651,0.005397,30,0.598382,2.348018,0.01887359113108604,0.8681851920299578,NO
outdoor_urban,800,AERIS-noCAS,0.200083,0.192137,-0.7947,0.005651,0.005727,30,1.378708,5.409972,6.303476962793975e-08,3.6560166384205055e-06,YES
outdoor_urban,800,AERIS-noFair,0.200083,0.199383,-0.07,0.005651,0.00551,30,0.1238,0.485784,0.627120411352305,1.0,NO
outdoor_urban,1000,AERIS-noGW,0.200083,0.196143,-0.394,0.004416,0.005388,30,0.789389,3.097518,0.0019514847492861764,0.09562275271502264,NO
outdoor_urban,1000,AERIS-noCAS,0.200083,0.191607,-0.8477,0.004416,0.005152,30,1.743598,6.841782,7.821402489163169e-12,4.771055518389532e-10,YES
outdoor_urban,1000,AERIS-noFair,0.200083,0.20041,0.0327,0.004416,0.005178,30,-0.067004,-0.262919,0.7926130888816882,1.0,NO
