protocol,environment,num_nodes,n,pdr_mean,pdr_std
PEGASIS,indoor_factory,500,30,0.383673,0.059896
PEGASIS,indoor_factory,800,30,0.33565,0.032184
PEGASIS,indoor_factory,1000,30,0.33243,0.040645
PEGASIS,indoor_office,50,30,0.99999,3.1e-05
PEGASIS,indoor_office,100,30,0.999973,7.8e-05
PEGASIS,indoor_office,200,30,0.999923,0.00011
PEGASIS,indoor_office,300,30,0.999843,0.000148
PEGASIS,indoor_office,500,30,0.99971,0.000211
PEGASIS,indoor_office,800,30,0.99918,0.000251
PEGASIS,indoor_office,1000,30,0.9988,0.000307
PEGASIS,outdoor_suburban,50,30,0.62526,0.042713
PEGASIS,outdoor_suburban,100,30,0.621243,0.035445
PEGASIS,outdoor_suburban,200,30,0.663167,0.061676
PEGASIS,outdoor_suburban,300,30,0.639897,0.056122
PEGASIS,outdoor_suburban,500,30,0.617417,0.056192
PEGASIS,outdoor_suburban,800,30,0.561837,0.032086
PEGASIS,outdoor_suburban,1000,30,0.555723,0.041968
PEGASIS,outdoor_urban,50,30,0.046543,0.009968
PEGASIS,outdoor_urban,100,30,0.040847,0.007186
PEGASIS,outdoor_urban,200,30,0.034807,0.00442
PEGASIS,outdoor_urban,300,30,0.036247,0.009016
PEGASIS,outdoor_urban,500,30,0.02835,0.012336
PEGASIS,outdoor_urban,800,30,0.020193,0.00571
PEGASIS,outdoor_urban,1000,30,0.02093,0.008448
RPL-MRHOF,indoor_factory,50,30,0.610393,0.028681
RPL-MRHOF,indoor_factory,100,30,0.613267,0.020178
RPL-MRHOF,indoor_factory,200,30,0.609773,0.01342
RPL-MRHOF,indoor_factory,300,30,0.60844,0.009194
RPL-MRHOF,indoor_factory,500,30,0.608133,0.007098
RPL-MRHOF,indoor_factory,800,30,0.6107,0.006888
RPL-MRHOF,indoor_factory,1000,30,0.61002,0.005531
RPL-MRHOF,indoor_office,50,30,0.999993,2.5e-05
RPL-MRHOF,indoor_office,100,30,1.0,0.0
RPL-MRHOF,indoor_office,200,30,1.0,0.0
RPL-MRHOF,indoor_office,300,30,1.0,0.0
RPL-MRHOF,indoor_office,500,30,1.0,0.0
RPL-MRHOF,indoor_office,800,30,1.0,0.0
RPL-MRHOF,indoor_office,1000,30,1.0,0.0
RPL-MRHOF,outdoor_suburban,50,30,0.769613,0.022288
RPL-MRHOF,outdoor_suburban,100,30,0.77129,0.01513
RPL-MRHOF,outdoor_suburban,200,30,0.77021,0.010719
RPL-MRHOF,outdoor_suburban,300,30,0.76828,0.007554
RPL-MRHOF,outdoor_suburban,500,30,0.768453,0.005846
RPL-MRHOF,outdoor_suburban,800,30,0.7705,0.005389
RPL-MRHOF,outdoor_suburban,1000,30,0.769773,0.004444
RPL-MRHOF,outdoor_urban,50,30,0.256497,0.032066
RPL-MRHOF,outdoor_urban,100,30,0.263417,0.019613
RPL-MRHOF,outdoor_urban,200,30,0.259287,0.015148
RPL-MRHOF,outdoor_urban,300,30,0.258807,0.010403
RPL-MRHOF,outdoor_urban,500,30,0.258037,0.008204
RPL-MRHOF,outdoor_urban,800,30,0.25986,0.007366
RPL-MRHOF,outdoor_urban,1000,30,0.259963,0.005383
TEEN,indoor_factory,50,30,0.361343,0.018624
TEEN,indoor_factory,100,30,0.370067,0.013552
TEEN,indoor_factory,200,30,0.36227,0.008023
TEEN,indoor_factory,300,30,0.362467,0.005617
TEEN,indoor_factory,500,30,0.35759,0.005082
TEEN,indoor_factory,800,30,0.35964,0.004358
TEEN,indoor_factory,1000,30,0.35747,0.003477
TEEN,indoor_office,50,30,0.61582,0.004796
TEEN,indoor_office,100,30,0.628653,0.002499
TEEN,indoor_office,200,30,0.619693,0.001523
TEEN,indoor_office,300,30,0.621377,0.002155
TEEN,indoor_office,500,30,0.61256,0.001984
TEEN,indoor_office,800,30,0.614493,0.001831
TEEN,indoor_office,1000,30,0.610727,0.00169
TEEN,outdoor_suburban,50,30,0.469377,0.015204
TEEN,outdoor_suburban,100,30,0.479727,0.010897
TEEN,outdoor_suburban,200,30,0.471367,0.00638
