environment,num_nodes,protocol,n,pdr_mean,pdr_std
outdoor_suburban,300,PEGASIS,1000,0.342897031468856,0.028060142050400375
outdoor_suburban,300,HEED,1000,0.34992250242316875,0.017661951041456077
outdoor_suburban,300,TEEN,1000,0.4306804425606861,0.01537826432253963
outdoor_suburban,500,AERIS,1000,0.986019520024302,0.001566670989822179
outdoor_suburban,500,LEACH,1000,0.3023040533333333,0.01334574565452759
outdoor_suburban,500,PEGASIS,1000,0.3380897426776524,0.06926849117016898
outdoor_suburban,500,HEED,1000,0.33671093883755804,0.013449476806320635
outdoor_suburban,500,TEEN,1000,0.40359128131257915,0.012318066606539788
outdoor_suburban,800,AERIS,1000,0.9887326047354869,0.0011678036449199243
outdoor_suburban,800,LEACH,1000,0.3041976666666667,0.010097860350866912
outdoor_suburban,800,PEGASIS,1000,0.3120924747765877,0.1012745529153414
outdoor_suburban,800,HEED,1000,0.3279797682846417,0.011122180826760503
outdoor_suburban,800,TEEN,1000,0.3773588150901404,0.00988464597073529
outdoor_suburban,1000,AERIS,1000,0.9895956087603872,0.0009939414016490473
outdoor_suburban,1000,LEACH,1000,0.30479495666666667,0.009184648458093228
outdoor_suburban,1000,PEGASIS,1000,0.28746188654180616,0.10729340653375544
outdoor_suburban,1000,HEED,1000,0.3232164585301594,0.010141210018328906
outdoor_suburban,1000,TEEN,1000,0.36694693563661734,0.008839279223096014
