table_id,row_key,metric,manuscript,source,abs_diff,tolerance,status,source_file
tab:ns3_trend,indoor_office,aeris_mean,0.9202,0.9202,0,5e-05,PASS,ns3_validation\results\ns3_multienv_stats.csv
tab:ns3_trend,indoor_office,leach_mean,0.9185,0.9185,0,5e-05,PASS,ns3_validation\results\ns3_multienv_stats.csv
tab:ns3_trend,indoor_office,diff,0.0017,0.0017,0,5e-05,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,indoor_office,holm_p,1,1,0,0.01,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,indoor_office,significant_yes_no,0,0,0,1e-12,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,indoor_factory,aeris_mean,0.5991,0.5991,0,5e-05,PASS,ns3_validation\results\ns3_multienv_stats.csv
tab:ns3_trend,indoor_factory,leach_mean,0.533,0.533,0,5e-05,PASS,ns3_validation\results\ns3_multienv_stats.csv
tab:ns3_trend,indoor_factory,diff,0.0661,0.0661,0,5e-05,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,indoor_factory,holm_p,1e-20,5.107526e-26,9.99994892474e-21,1e-12,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,indoor_factory,significant_yes_no,1,1,0,1e-12,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,outdoor_urban,aeris_mean,0.2057,0.2057,0,5e-05,PASS,ns3_validation\results\ns3_multienv_stats.csv
tab:ns3_trend,outdoor_urban,leach_mean,0.1889,0.1889,0,5e-05,PASS,ns3_validation\results\ns3_multienv_stats.csv
tab:ns3_trend,outdoor_urban,diff,0.0169,0.0169,0,5e-05,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,outdoor_urban,holm_p,0.000789,0.0007892941,2.941e-07,1.578e-05,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,outdoor_urban,significant_yes_no,1,1,0,1e-12,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,outdoor_suburban,aeris_mean,0.7767,0.7767,0,5e-05,PASS,ns3_validation\results\ns3_multienv_stats.csv
tab:ns3_trend,outdoor_suburban,leach_mean,0.6929,0.6929,0,5e-05,PASS,ns3_validation\results\ns3_multienv_stats.csv
tab:ns3_trend,outdoor_suburban,diff,0.0838,0.0838,0,5e-05,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,outdoor_suburban,holm_p,3.17e-25,3.168464e-25,1.536e-28,1e-12,PASS,ns3_validation\results\ns3_multienv_significance.csv
tab:ns3_trend,outdoor_suburban,significant_yes_no,1,1,0,1e-12,PASS,ns3_validation\results\ns3_multienv_significance.csv
